example_id,domain,layer,head,hook_name,metric,gold_answer,gold_token_id,gold_token_str,gold_token_count,direct_token_count,structured_token_count,baseline_score,patched_score,delta,valid_example,skip_reason
geo_006,geography,30,0,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,1,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.578125,-0.0078125,True,
geo_006,geography,30,2,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,3,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.59375,0.0078125,True,
geo_006,geography,30,4,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.625,0.0390625,True,
geo_006,geography,30,5,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.6015625,0.015625,True,
geo_006,geography,30,6,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,7,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5703125,-0.015625,True,
geo_006,geography,30,8,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5703125,-0.015625,True,
geo_006,geography,30,9,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,10,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,11,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.59375,0.0078125,True,
geo_006,geography,30,12,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,13,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,14,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,15,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,16,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.59375,0.0078125,True,
geo_006,geography,30,17,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,18,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.6015625,0.015625,True,
geo_006,geography,30,19,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,20,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.6015625,0.015625,True,
geo_006,geography,30,21,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,22,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.6015625,0.015625,True,
geo_006,geography,30,23,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,24,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,25,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,26,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,27,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,28,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,29,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.578125,-0.0078125,True,
geo_006,geography,30,30,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,30,31,blocks.30.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,0,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.6015625,0.015625,True,
geo_006,geography,31,1,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,2,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.609375,0.0234375,True,
geo_006,geography,31,3,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,4,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,5,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.59375,0.0078125,True,
geo_006,geography,31,6,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,7,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,8,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
geo_006,geography,31,9,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.59375,0.0078125,True,
geo_006,geography,31,10,blocks.31.attn.hook_z,logit,South America,3684, South,2,250,250,14.5859375,14.5859375,0.0,True,
